{'01044099999': -10.0, '02293099999': -27.6}
         313561 function calls (307829 primitive calls) in 0.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      310    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       69    0.000    0.000    0.000    0.000 status_codes.py:120(<genexpr>)
      311    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1558(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        5    0.000    0.000    0.000    0.000 typing.py:818(__getitem_inner__)
        6    0.000    0.000    0.000    0.000 enum.py:997(<listcomp>)
      306    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      432    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      371    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1238    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       77    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      310    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
       44    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:878(__class_getitem__)
       72    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 re.py:223(split)
      469    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 models.py:14(CharsetMatch)
