{'01044099999': -10.0, '02293099999': -27.6}
         387298 function calls (381502 primitive calls) in 10.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
        1    0.000    0.000    0.001    0.001 struct.py:3(<module>)
      197    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      349    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
      246    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 core.py:1(<module>)
       72    0.000    0.000    0.001    0.000 typing.py:659(__init__)
        2    0.000    0.000    0.001    0.000 sessions.py:414(__exit__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:4(<module>)
    76/72    0.000    0.000    0.001    0.000 typing.py:255(inner)
        2    0.000    0.000    0.001    0.000 sessions.py:734(close)
      302    0.000    0.000    0.001    0.000 enum.py:75(__setitem__)
       10    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
      236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        4    0.000    0.000    0.001    0.000 adapters.py:320(close)
        2    0.000    0.000    0.001    0.000 utils.py:738(should_bypass_proxies)
      173    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.001    0.000 poolmanager.py:215(clear)
        4    0.000    0.000    0.001    0.000 _collections.py:92(clear)
     2528    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      190    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
        2    0.000    0.000    0.001    0.000 poolmanager.py:173(<lambda>)
        2    0.001    0.000    0.001    0.000 connectionpool.py:483(close)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        2    0.000    0.000    0.001    0.000 request.py:2525(proxy_bypass_environment)
      690    0.000    0.000    0.001    0.000 os.py:670(__getitem__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
     2530    0.001    0.000    0.001    0.000 socket.py:694(readable)
     1896    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     1171    0.001    0.000    0.001    0.000 response.py:9(is_fp_closed)
     3198    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5062    0.001    0.000    0.001    0.000 ssl.py:1078(_checkClosed)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       82    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        2    0.000    0.000    0.001    0.000 connection.py:231(request)
        2    0.000    0.000    0.001    0.000 client.py:222(parse_headers)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       31    0.000    0.000    0.001    0.000 abc.py:84(__new__)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(path_stats)
2845/2777    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2342    0.001    0.000    0.001    0.000 client.py:438(isclosed)
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
      522    0.000    0.000    0.001    0.000 typing.py:762(__setattr__)
     2186    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
        2    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
     2431    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      472    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
